customer_id,customer_name,email,registration_date,customer_type
CUST0001,Arjun Sharma,user1,2025-01-15,REGULAR
CUST0002,Rahul Gupta,user2example.com,2026-04-27,REGULAR
CUST0003,Aditi Pawar,user3example.com,2024-02-16,REGULAR
CUST0004,Karan Joshi,user4example.com,2026-05-21,REGULAR
CUST0005,Kavya Pawar,user5@,2025-11-28,VIP
CUST0006,Amit Singh,user6example.com,2024-09-05,VIP
CUST0007,Isha Kulkarni,user7,2024-08-29,REGULAR
CUST0008,Neha Patel,user8example.com,2025-08-13,REGULAR
CUST0009,Priya Khan,user9,2026-07-26,PREMIUM
CUST0010,Vivaan Gupta,@example.com,2026-04-13,REGULAR
CUST0011,Ananya Patel,user11,2025-07-15,VIP
CUST0012,Karan Gupta,user12example.com,2024-03-12,VIP
CUST0013,Yash Singh,yash.singh13@example.com,2025-03-25,REGULAR
CUST0014,Yash Khan,yash.khan14@example.com,2024-06-05,PREMIUM
CUST0015,Amit Jadhav,amit.jadhav15@example.com,2025-07-20,REGULAR
CUST0016,Priya Kulkarni,priya.kulkarni16@example.com,2024-11-21,VIP
CUST0017,Amit Gupta,amit.gupta17@example.com,2024-04-20,VIP
CUST0018,Rohan More,rohan.more18@example.com,2025-01-15,REGULAR
CUST0019,Sneha Pawar,sneha.pawar19@example.com,2025-02-23,VIP
CUST0020,Kavya Joshi,kavya.joshi20@example.com,2025-05-18,REGULAR
CUST0021,Yash Khan,yash.khan21@example.com,2024-02-19,PREMIUM
CUST0022,Ananya Deshmukh,ananya.deshmukh22@example.com,2024-04-12,REGULAR
CUST0023,Aditi Mehta,aditi.mehta23@example.com,2025-05-03,REGULAR
CUST0024,Pooja Pawar,pooja.pawar24@example.com,2025-12-13,REGULAR
CUST0025,Amit Sawant,amit.sawant25@example.com,2025-01-18,VIP
CUST0026,Kavya More,kavya.more26@example.com,2025-02-12,VIP
CUST0027,Aditi Pawar,aditi.pawar27@example.com,2026-06-25,PREMIUM
CUST0028,Priya Joshi,priya.joshi28@example.com,2024-08-02,VIP
CUST0029,Pooja Patel,pooja.patel29@example.com,2024-03-14,REGULAR
CUST0030,Rahul Verma,rahul.verma30@example.com,2024-09-05,VIP
CUST0031,Isha Shinde,isha.shinde31@example.com,2024-04-08,PREMIUM
CUST0032,Ananya Shinde,ananya.shinde32@example.com,2025-12-28,VIP
CUST0033,Amit More,amit.more33@example.com,2024-01-18,VIP
CUST0034,Arjun Verma,arjun.verma34@example.com,2026-04-14,PREMIUM
CUST0035,Neha Patel,neha.patel35@example.com,2025-03-31,PREMIUM
CUST0036,Rohan Jadhav,rohan.jadhav36@example.com,2024-01-06,VIP
CUST0037,Amit More,amit.more37@example.com,2024-10-04,VIP
CUST0038,Arjun Khan,arjun.khan38@example.com,2025-04-08,VIP
CUST0039,Riya Shinde,riya.shinde39@example.com,2024-11-04,REGULAR
CUST0040,Priya Singh,priya.singh40@example.com,2024-09-07,VIP
CUST0041,Riya Mehta,riya.mehta41@example.com,2024-01-01,VIP
CUST0042,Neha Jadhav,neha.jadhav42@example.com,2024-01-31,REGULAR
CUST0043,Priya Mehta,priya.mehta43@example.com,2025-04-22,REGULAR
CUST0044,Vivaan Joshi,vivaan.joshi44@example.com,2026-05-31,REGULAR
CUST0045,Aditya Gupta,aditya.gupta45@example.com,2026-01-24,REGULAR
CUST0046,Kavya Singh,kavya.singh46@example.com,2024-07-14,REGULAR
CUST0047,Pooja More,pooja.more47@example.com,2024-09-13,PREMIUM
CUST0048,Riya Khan,riya.khan48@example.com,2026-07-31,PREMIUM
CUST0049,Karan Mehta,karan.mehta49@example.com,2026-04-17,VIP
CUST0050,Karan Gupta,karan.gupta50@example.com,2025-04-29,PREMIUM
CUST0051,Priya Jadhav,priya.jadhav51@example.com,2026-03-15,PREMIUM
CUST0052,Arjun Joshi,arjun.joshi52@example.com,2024-12-15,REGULAR
CUST0053,Neha Sharma,neha.sharma53@example.com,2026-07-02,VIP
CUST0054,Yash Shinde,yash.shinde54@example.com,2024-12-08,REGULAR
CUST0055,Aditya Gupta,aditya.gupta55@example.com,2024-04-01,REGULAR
CUST0056,Aditya Mehta,aditya.mehta56@example.com,2024-02-18,PREMIUM
CUST0057,Aditya More,aditya.more57@example.com,2025-01-04,PREMIUM
CUST0058,Pooja Joshi,pooja.joshi58@example.com,2026-04-17,REGULAR
CUST0059,Aditi Shinde,aditi.shinde59@example.com,2026-01-04,REGULAR
CUST0060,Pooja Singh,pooja.singh60@example.com,2025-09-24,REGULAR
CUST0061,Arjun Patel,arjun.patel61@example.com,2025-10-31,PREMIUM
CUST0062,Isha Pawar,isha.pawar62@example.com,2025-12-26,VIP
CUST0063,Vivaan Verma,vivaan.verma63@example.com,2024-06-01,REGULAR
CUST0064,Ananya Gupta,ananya.gupta64@example.com,2025-06-11,REGULAR
CUST0065,Yash Joshi,yash.joshi65@example.com,2024-10-22,VIP
CUST0066,Sneha Sawant,sneha.sawant66@example.com,2025-10-17,REGULAR
CUST0067,Amit Jadhav,amit.jadhav67@example.com,2025-01-23,REGULAR
CUST0068,Sneha Singh,sneha.singh68@example.com,2026-05-04,REGULAR
CUST0069,Vivaan Verma,vivaan.verma69@example.com,2026-04-19,REGULAR
CUST0070,Aditya Mehta,aditya.mehta70@example.com,2025-01-02,REGULAR
